District,Station,Station_Abbr,Crop_Year,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,Drought_Index,Moisture_Adequacy_Index,Water_Balance_mm
Nashik,Niphad,NPD,2007-2008,2007,2008,2007-10-01,2008-09-30,366,366,100.0,617.3000000000001,366,2167.8,366,0.0,0,7.852011494252873,348,31.186612021857922,366,15.819398907103825,366,23.52185792349727,366,85.18852459016394,366,42.057377049180324,366,100.0,74,21,315,4,-0.7152412584186733,,-1550.5
Nashik,Niphad,NPD,2008-2009,2008,2009,2008-10-01,2009-09-30,365,333,91.23287671232877,320.80000000000007,333,2232.5,333,0.0,0,8.153395061728395,324,32.50960960960961,333,17.044744744744744,333,24.80570570570571,333,84.13213213213213,333,40.489489489489486,333,91.23287671232877,95,30,308,1,-0.8563045912653975,,-1911.6999999999998
Nashik,Niphad,NPD,2009-2010,2009,2010,2009-10-01,2010-09-30,365,365,100.0,616.0,365,1915.1,365,0.0,0,7.508356545961003,359,31.861369863013696,365,17.149863013698628,365,24.530958904109593,365,84.33150684931506,365,46.07397260273972,365,100.0,91,50,312,2,-0.67834577828834,,-1299.1
Nashik,Niphad,NPD,2010-2011,2010,2011,2010-10-01,2011-09-30,365,365,100.0,731.6999999999999,365,2185.2,365,0.0,0,7.3853185595567865,361,31.05835616438356,365,17.083835616438357,365,24.0986301369863,365,86.44931506849315,365,45.66849315068493,365,100.0,69,15,301,2,-0.6651565074135091,,-1453.5
Nashik,Niphad,NPD,2011-2012,2011,2012,2011-10-01,2012-09-30,366,334,91.2568306010929,557.5999999999999,334,2275.0,334,0.0,0,7.922935779816514,327,31.408982035928144,334,15.067664670658681,334,23.260179640718565,334,82.69461077844312,334,42.790419161676645,334,91.2568306010929,78,25,291,3,-0.7549010989010989,,-1717.4
Nashik,Niphad,NPD,2012-2013,2012,2013,2012-10-01,2013-09-30,365,339,92.87671232876711,628.3,339,2213.6,339,0.0,0,9.050625,160,31.363126843657813,339,16.10560471976401,339,23.755457227138645,339,84.86430678466077,339,49.640117994100294,339,92.87671232876711,69,18,277,2,-0.7161637152150343,,-1585.3
Nashik,Niphad,NPD,2013-2014,2013,2014,2013-10-01,2014-09-30,365,334,91.5068493150685,613.6,334,2390.5,334,0.0,0,7.277011494252873,261,31.80029940119761,334,17.067664670658683,334,24.46347305389222,334,83.7934131736527,334,53.82335329341317,334,91.5068493150685,93,45,284,2,-0.7433172976364778,,-1776.9
Solapur,Solapur,SLP,1996-1997,1996,1997,1996-10-01,1997-09-30,365,349,95.61643835616438,543.0,349,2393.7,349,629.8999999999999,328,7.556446991404012,349,33.84441260744986,349,19.21002865329513,349,26.527507163323783,349,72.77363896848138,349,37.07449856733524,349,95.61643835616438,138,61,306,2,-0.7731545306429377,0.8620415939037944,-2480.5999999999995
Solapur,Solapur,SLP,1997-1998,1997,1998,1997-10-01,1998-09-30,365,346,94.79452054794521,989.8,346,2624.2,346,654.0999999999999,319,7.102890173410405,346,34.82947976878613,346,21.08670520231214,346,27.956936416184973,346,78.7485549132948,346,47.45086705202312,346,94.79452054794521,134,82,276,5,-0.6228183827452176,1.5132242776333895,-2288.5
Solapur,Solapur,SLP,1998-1999,1998,1999,1998-10-01,1999-09-30,365,351,96.16438356164385,655.5999999999999,351,3054.7000000000003,351,484.70000000000005,301,6.278917378917379,351,33.963247863247865,351,19.816809116809118,351,26.892022792022793,351,76.19658119658119,351,46.592592592592595,351,96.16438356164385,116,63,295,4,-0.7853799063737847,1.3525892304518257,-2883.8
